workload,RFMsb-1,RFMsb-2,RFMsb-5,RFMsb-10,QPRAC-64,QPRAC-128,QPRAC-256
401.bzip2,0.34421330277843976,0.5385757018478114,0.7713269193028313,0.8793032264401092,1.0,1.0,1.0
403.gcc,0.9054357939113474,0.9546190993721824,0.9859647444910669,0.9976075217371042,1.0,1.0,1.0
429.mcf,0.09163288569283624,0.18297744018857756,0.37765987407960666,0.5591008547030666,1.0,1.0,1.0
433.milc,0.13176418161080597,0.24008282288162255,0.4432053574073519,0.6173467924119542,1.0,1.0,1.0
434.zeusmp,0.102134384929438,0.1905649397073048,0.37094433497261325,0.5345881176250773,1.0,1.0,1.0
435.gromacs,0.49873512440576756,0.6873250477813553,0.8569997072179139,0.930719693299603,1.0,1.0,1.0
436.cactusADM,0.17268167771300694,0.30532621634976587,0.5271050511735922,0.6969279926978049,1.0,1.0,1.0
437.leslie3d,0.1154089856403816,0.2140387586760522,0.4141851115713979,0.5908614400705763,1.0,1.0,1.0
444.namd,0.9714623513274011,0.9859069880754248,0.9956165845733455,0.9975881334327014,1.0,1.0,1.0
445.gobmk,0.5856507227200958,0.7912970615559488,0.928131003937675,0.9746397950087399,1.0,1.0,1.0
447.dealII,0.9462602785872766,0.9738411301584066,0.9882587496249932,0.9949592778515896,1.0,1.0,1.0
450.soplex,0.125437979644876,0.22951544434606955,0.44546983952569863,0.6349096664085575,1.0,1.0,1.0
456.hmmer,0.4920328030293276,0.6829360251571324,0.8418781329853791,0.9613608977273813,1.0,1.0,1.0
458.sjeng,0.6348523600516027,0.8357360787242264,0.9499190052308161,0.9889344528093794,1.0,1.0,1.0
459.GemsFDTD,0.10461121532040366,0.194634793386757,0.37668401576338684,0.537578865075667,1.0,1.0,1.0
462.libquantum,0.11464802569386565,0.2151884519544403,0.4344178208373367,0.6337072133176015,1.0,1.0,1.0
464.h264ref,0.8879471806118838,0.9457036967895807,0.9672541781055383,0.9908513263072445,1.0,1.0,1.0
470.lbm,0.10338461335680615,0.19232032636661664,0.37643097902023415,0.5438731657903768,1.0,1.0,1.0
471.omnetpp,0.1076687462490445,0.20657369878620482,0.4014368277765064,0.5598545164991925,1.0,1.0,1.0
473.astar,0.15667895079831745,0.27632075796561,0.4869271281782818,0.6584556862704665,1.0,1.0,1.0
481.wrf,0.9428242212722016,0.9721837710546312,0.9903331406866456,0.9958553675245209,1.0,1.0,1.0
482.sphinx3,0.12310401429465208,0.22342958871351623,0.4160143044285757,0.5859132622601746,1.0,1.0,1.0
483.xalancbmk,0.12038908355949637,0.22254083719465909,0.41127848488971086,0.5686329056249837,1.0,1.0,1.0
500.perlbench,0.36585431680374214,0.5601662148293833,0.7933693614684173,0.9300880317989744,1.0,1.0,1.0
502.gcc,0.3611305101550705,0.5552577430095026,0.792767858862407,0.8950646296685678,1.0,1.0,1.0
505.mcf,0.12696209240916534,0.24675476396812637,0.48363235346194533,0.67111183373902,1.0,1.0,1.0
507.cactuBSSN,0.18377598348998528,0.32615281952991537,0.555532814426763,0.7170358308370849,1.0,1.0,1.0
508.namd,0.6376183158025905,0.8004650294721977,0.9269415189572033,0.9758792378963745,1.0,1.0,1.0
510.parest,0.10633586262782589,0.1978343482922631,0.39685303200085725,0.5818358437441374,1.0,1.0,1.0
511.povray,0.991886707627843,0.9958687817461256,0.9985438855188525,0.9995374665550402,1.0,1.0,1.0
519.lbm,0.10525834542144336,0.19559073273544,0.380186539272839,0.5466665666593313,1.0,1.0,1.0
520.omnetpp,0.1343706508465715,0.2422086597264005,0.44236887972761313,0.6101269556905085,1.0,1.0,1.0
523.xalancbmk,0.2916573355956373,0.4782289582362415,0.7196023815454579,0.8563136140762282,1.0,1.0,1.0
525.x264,0.6483721698154151,0.8234163083973701,0.9378531718206466,0.9775312434302013,1.0,1.0,1.0
526.blender,0.8166081025654897,0.9108675641054814,0.9669617960793967,0.9853205866224739,1.0,1.0,1.0
531.deepsjeng,0.7040960691162514,0.8754133205230382,0.9666188774340736,0.9968837266527106,1.0,1.0,1.0
538.imagick,0.9992289694334355,0.999740013876203,1.0002189613377446,1.0002426592252127,1.0,1.0,1.0
541.leela,0.9863519113330576,0.9944473802125287,0.9979387917903503,0.9995095733542698,1.0,1.0,1.0
544.nab,0.8632252845327583,0.9474422419777024,0.993018820242245,1.00849073800836,1.0,1.0,1.0
549.fotonik3d,0.10584639519630346,0.19524978082725877,0.37353386375805864,0.5293749703820477,1.0,1.0,1.0
557.xz,0.2001176311809702,0.34465240243871753,0.5728258169862965,0.7335224743371511,1.0,1.0,1.0
grep_map0,0.157758966194757,0.2909261886951463,0.5232862451823469,0.6947585340061003,1.0,1.0,1.0
h264_encode,0.8897516162420162,0.9464090531467315,0.9809363725823208,0.9915127225136081,1.0,1.0,1.0
jp2_decode,0.134313949435031,0.24927892642311597,0.46772373575368903,0.6515861092967548,1.0,1.0,1.0
jp2_encode,0.16444466557876822,0.29738704984099096,0.529367161684567,0.7027126715146091,1.0,1.0,1.0
tpcc64,0.17513103621292198,0.31391454299941285,0.5573981158261592,0.7344370730553773,1.0,1.0,1.0
tpch17,0.13641504234811203,0.25312629776059237,0.4782244365458828,0.6634054069902947,1.0,1.0,1.0
tpch2,0.12603496469614092,0.23649290234683473,0.45138357386978767,0.6351634287036355,1.0,1.0,1.0
tpch6,0.32307749089484034,0.5139686563344432,0.7431964946912604,0.8654105113119038,1.0,1.0,1.0
wc_8443,0.1393017291774954,0.2574217456748888,0.4752146086070111,0.650053201936266,1.0,1.0,1.0
wc_map0,0.13920798555928385,0.25786825497865823,0.4751221214371939,0.6495222714152962,1.0,1.0,1.0
ycsb_abgsave,0.38689310997961424,0.599979362134703,0.8243627355690529,0.935418727843353,1.0,1.0,1.0
ycsb_aserver,0.22972239170728054,0.3825975279333406,0.6169227141837131,0.778887897670016,1.0,1.0,1.0
ycsb_bserver,0.26231118712308793,0.4259132949895728,0.6576626450215868,0.8173529068546281,1.0,1.0,1.0
ycsb_cserver,0.2669160908168909,0.4304246517460161,0.6624436325301006,0.8264270328180054,1.0,1.0,1.0
ycsb_dserver,0.2921992564601723,0.46966133208634364,0.7019019989605391,0.8494902762734653,1.0,1.0,1.0
ycsb_eserver,0.2606820760259072,0.42360038057134086,0.6557621868796576,0.8202857048089142,1.0,1.0,1.0
SPEC2K6 (23),0.2542349596644985,0.3904822144926836,0.59142724523229,0.7339476106970891,1.0,1.0,1.0
SPEC2K17 (18),0.3484854687773372,0.4993186100167183,0.6940539445828123,0.8136189708359879,1.0,1.0,1.0
TPC (4),0.1766061329947761,0.31349156675106216,0.5468417519026794,0.7193832342817249,1.0,1.0,1.0
Hadoop (3),0.14516822589840309,0.2682925685609769,0.4906947948990779,0.6644448602925238,1.0,1.0,1.0
MediaBench (3),0.2698587876932934,0.4124413199481559,0.623920250525191,0.7685685890807258,1.0,1.0,1.0
YCSB (6),0.27923039786883874,0.4506157066329906,0.6835243823615659,0.836635810312614,1.0,1.0,1.0
All (57),0.2658873696299939,0.41143930991445804,0.621537715750665,0.7643967034253322,1.0,1.0,1.0
